id,barangay_name,month,year,predicted_cases,lower_bound,upper_bound,risk_level,risk_flag,created_at,updated_at,model_used,confidence_interval
4335,"Addition Hills",10,2025,"1.043","0","2.277","High","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4337,"Addition Hills",12,2025,"0.399","0","3.002","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4338,"Addition Hills",1,2026,"0.488","0","3.277","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4339,"Addition Hills",2,2026,"0.483","0","3.278","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4340,"Addition Hills",3,2026,"0.486","0","3.302","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4341,"Addition Hills",4,2026,"0.484","0","3.311","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4342,"Addition Hills",5,2026,"0.484","0","3.325","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4343,"Addition Hills",6,2026,"0.49","0","3.355","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4344,"Addition Hills",7,2026,"0.486","0","3.359","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4345,"Addition Hills",8,2026,"0.486","0","3.373","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4346,"Addition Hills",9,2026,"0.486","0","3.388","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4347,"Bagong Silang",10,2025,"0.105","0","0.413","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4349,"Bagong Silang",12,2025,"0.032","0","0.534","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4350,"Bagong Silang",1,2026,"0.035","0","0.538","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4351,"Bagong Silang",2,2026,"0.035","0","0.537","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4352,"Bagong Silang",3,2026,"0.034","0","0.537","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4353,"Bagong Silang",4,2026,"0.036","0","0.54","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4354,"Bagong Silang",5,2026,"0.033","0","0.536","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4355,"Bagong Silang",6,2026,"0.034","0","0.536","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4356,"Bagong Silang",7,2026,"0.033","0","0.536","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4357,"Bagong Silang",8,2026,"0.034","0","0.536","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4358,"Bagong Silang",9,2026,"0.033","0","0.535","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4359,"Barangka Drive",10,2025,"0.158","0","1.727","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4361,"Barangka Drive",12,2025,"0.158","0","1.755","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4362,"Barangka Drive",1,2026,"0.159","0","1.771","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4363,"Barangka Drive",2,2026,"0.159","0","1.784","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4364,"Barangka Drive",3,2026,"0.159","0","1.798","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4365,"Barangka Drive",4,2026,"0.176","0","1.853","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4366,"Barangka Drive",5,2026,"0.16","0","1.834","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4367,"Barangka Drive",6,2026,"0.161","0","1.849","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4368,"Barangka Drive",7,2026,"0.163","0","1.869","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4369,"Barangka Drive",8,2026,"0.16","0","1.877","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4370,"Barangka Drive",9,2026,"0.163","0","1.898","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4371,"Barangka Ibaba",10,2025,"0.086","0","0.641","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4373,"Barangka Ibaba",12,2025,"0.085","0","0.64","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4374,"Barangka Ibaba",1,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4375,"Barangka Ibaba",2,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4376,"Barangka Ibaba",3,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4377,"Barangka Ibaba",4,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4378,"Barangka Ibaba",5,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4379,"Barangka Ibaba",6,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4380,"Barangka Ibaba",7,2026,"0.085","0","0.641","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4381,"Barangka Ibaba",8,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4382,"Barangka Ibaba",9,2026,"0.086","0","0.642","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4383,"Barangka Ilaya",10,2025,"0.047","0","1.126","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4385,"Barangka Ilaya",12,2025,"0.459","0","1.96","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4386,"Barangka Ilaya",1,2026,"0.145","0","1.326","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4387,"Barangka Ilaya",2,2026,"0.093","0","1.222","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4388,"Barangka Ilaya",3,2026,"0.279","0","1.6","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4389,"Barangka Ilaya",4,2026,"0.294","0","1.629","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4390,"Barangka Ilaya",5,2026,"0.274","0","1.586","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4391,"Barangka Ilaya",6,2026,"0.376","0","1.792","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4392,"Barangka Ilaya",7,2026,"0.328","0","1.695","Low-Moderate","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4393,"Barangka Ilaya",8,2026,"0.148","0","1.33","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4394,"Barangka Ilaya",9,2026,"0.047","0","1.125","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(2, 0, 1)x(0, 1, 1, 12)",95
4395,"Barangka Itaas",10,2025,"0.122","0","0.928","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4397,"Barangka Itaas",12,2025,"0.122","0","0.928","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4398,"Barangka Itaas",1,2026,"0.122","0","0.928","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4399,"Barangka Itaas",2,2026,"0.122","0","0.928","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4400,"Barangka Itaas",3,2026,"0.122","0","0.928","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4401,"Barangka Itaas",4,2026,"0.122","0","0.928","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4402,"Barangka Itaas",5,2026,"0.143","0","0.964","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4403,"Barangka Itaas",6,2026,"0.143","0","0.964","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4404,"Barangka Itaas",7,2026,"0.131","0","0.944","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4405,"Barangka Itaas",8,2026,"0.128","0","0.939","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4406,"Barangka Itaas",9,2026,"0.126","0","0.936","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4407,"Buayang Bato",10,2025,"0.05","0","0.747","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4409,"Buayang Bato",12,2025,"0.051","0","0.751","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4410,"Buayang Bato",1,2026,"0.051","0","0.753","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4411,"Buayang Bato",2,2026,"0.051","0","0.755","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4412,"Buayang Bato",3,2026,"0.051","0","0.757","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4413,"Buayang Bato",4,2026,"0.051","0","0.759","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4414,"Buayang Bato",5,2026,"0.051","0","0.76","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4415,"Buayang Bato",6,2026,"0.051","0","0.762","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4416,"Buayang Bato",7,2026,"0.051","0","0.764","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4417,"Buayang Bato",8,2026,"0.052","0","0.768","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4418,"Buayang Bato",9,2026,"0.05","0","0.768","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4419,"Burol",10,2025,"0","0","0.405","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4421,"Burol",12,2025,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4422,"Burol",1,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4423,"Burol",2,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4424,"Burol",3,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4425,"Burol",4,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4426,"Burol",5,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4427,"Burol",6,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4428,"Burol",7,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4429,"Burol",8,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4430,"Burol",9,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4431,"Daang Bakal",10,2025,"0.143","0","0.554","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4433,"Daang Bakal",12,2025,"0.078","0","0.725","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4434,"Daang Bakal",1,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4435,"Daang Bakal",2,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4436,"Daang Bakal",3,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4437,"Daang Bakal",4,2026,"0.074","0","0.719","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4438,"Daang Bakal",5,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4439,"Daang Bakal",6,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4440,"Daang Bakal",7,2026,"0.059","0","0.693","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4441,"Daang Bakal",8,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4442,"Daang Bakal",9,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4443,"Hagdang Bato Itaas",10,2025,"0.058","0","0.561","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4445,"Hagdang Bato Itaas",12,2025,"0.05","0","0.549","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4446,"Hagdang Bato Itaas",1,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4447,"Hagdang Bato Itaas",2,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4448,"Hagdang Bato Itaas",3,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4449,"Hagdang Bato Itaas",4,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4450,"Hagdang Bato Itaas",5,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4451,"Hagdang Bato Itaas",6,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4452,"Hagdang Bato Itaas",7,2026,"0.048","0","0.547","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4453,"Hagdang Bato Itaas",8,2026,"0.048","0","0.547","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4454,"Hagdang Bato Itaas",9,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4455,"Hagdang Bato Libis",10,2025,"0.093","0","0.385","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4457,"Hagdang Bato Libis",12,2025,"0.072","0","0.582","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4458,"Hagdang Bato Libis",1,2026,"0.062","0","0.567","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4459,"Hagdang Bato Libis",2,2026,"0.063","0","0.567","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4460,"Hagdang Bato Libis",3,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4461,"Hagdang Bato Libis",4,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4462,"Hagdang Bato Libis",5,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4463,"Hagdang Bato Libis",6,2026,"0.063","0","0.567","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4464,"Hagdang Bato Libis",7,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4465,"Hagdang Bato Libis",8,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4466,"Hagdang Bato Libis",9,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4467,"Harapin ang Bukas",10,2025,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4469,"Harapin ang Bukas",12,2025,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4470,"Harapin ang Bukas",1,2026,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4471,"Harapin ang Bukas",2,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4472,"Harapin ang Bukas",3,2026,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4473,"Harapin ang Bukas",4,2026,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4474,"Harapin ang Bukas",5,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4475,"Harapin ang Bukas",6,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4476,"Harapin ang Bukas",7,2026,"0.067","0","0.558","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4477,"Harapin ang Bukas",8,2026,"0.067","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4478,"Harapin ang Bukas",9,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4479,"Highway Hills",10,2025,"0.895","0","3.973","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4481,"Highway Hills",12,2025,"0.857","0","3.95","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4482,"Highway Hills",1,2026,"0.922","0","4.163","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4483,"Highway Hills",2,2026,"0.895","0","4.132","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4484,"Highway Hills",3,2026,"0.902","0","4.189","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4485,"Highway Hills",4,2026,"0.895","0","4.211","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4486,"Highway Hills",5,2026,"0.895","0","4.251","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4487,"Highway Hills",6,2026,"0.885","0","4.281","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4488,"Highway Hills",7,2026,"0.887","0","4.324","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4489,"Highway Hills",8,2026,"0.886","0","4.364","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4490,"Highway Hills",9,2026,"0.898","0","4.441","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4491,"Hulo",10,2025,"0.37","0","2.58","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4493,"Hulo",12,2025,"0.345","0","2.544","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
